Course Code,Course Name,METU Credit,Contact (h/w),Lab (h/w),ECTS,URL
ION501,INTRODUCTION TO INFORMATION SYS.,3,3,0,8.0,course.php?prog=904&course_code=9040501
ION502,INTRODUCTION TO SOFTWARE ENG.,3,3,0,8.0,course.php?prog=904&course_code=9040502
ION503,DATABASE CONCEPTS AND APPLICATIONS,3,3,0,8.0,course.php?prog=904&course_code=9040503
ION504,COMPUTER NETWORKING FOR IS,3,3,0,8.0,course.php?prog=904&course_code=9040504
ION505,INFORMATION SYSTEMS ON-LINE GROUP PROJE,3,1,4,8.0,course.php?prog=904&course_code=9040505
ION510,OBJECT ORIENTED PROGRAMMING WITH JAVA,3,3,0,8.0,course.php?prog=904&course_code=9040510
ION512,IT GOVERNANCE,3,3,0,8.0,course.php?prog=904&course_code=9040512
ION514,MULTIMEDIA INFORMATION SYSTEMS,3,3,0,8.0,course.php?prog=904&course_code=9040514
ION516,COMPUTER ARCHITECTURE,3,0,0,8.0,course.php?prog=904&course_code=9040516
ION523,DATA MINING,3,3,0,8.0,course.php?prog=904&course_code=9040523
ION525,ARTIFICIAL INTELLIGENCE,3,3,0,8.0,course.php?prog=904&course_code=9040525
ION526,INTRODUCTION TO NEURAL NETWORKS,3,3,0,8.0,course.php?prog=904&course_code=9040526
ION528,IMAGE PROCESSING ALGORITHMS,3,3,0,8.0,course.php?prog=904&course_code=9040528
ION533,DECISION SUPPORT SYSTEMS,3,0,0,8.0,course.php?prog=904&course_code=9040533
ION535,INTRODUCTION TO MEDICAL INFORMATICS,3,3,0,8.0,course.php?prog=904&course_code=9040535
ION541,COMPUTER NETWORKING APPLICATIONS,3,3,0,8.0,course.php?prog=904&course_code=9040541
ION542,INFORMATION TECH.AND BUSINESS PROCESSES,3,3,0,8.0,course.php?prog=904&course_code=9040542
ION545,SOFTWARE QUALITY MANAGEMENT,3,3,0,8.0,course.php?prog=904&course_code=9040545
ION551,COMPUTER SECURITY AND CRYPTOGRAPHY,3,3,0,8.0,course.php?prog=904&course_code=9040551
ION552,REGULATORY AND LEGAL ASPECTS OF INFORMATION SYSTEMS,3,3,0,8.0,course.php?prog=904&course_code=9040552
ION557,SECURITY ENGINEERING,3,0,0,8.0,course.php?prog=904&course_code=9040557
ION561,FUNDAMENTALS OF SIMULATION,3,3,0,8.0,course.php?prog=904&course_code=9040561
ION562,INTRODUCTION TO ENGINEERING OPTIMIZATION,3,3,0,8.0,course.php?prog=904&course_code=9040562
ION589,MS PROJECT,0,1,0,20.0,course.php?prog=904&course_code=9040589
ION590,GRADUATE SEMINAR,0,0,2,10.0,course.php?prog=904&course_code=9040590
ION720,SYSTEMS ENGINEERING,3,0,0,8.0,course.php?prog=904&course_code=9040720
ION739,SYSTEMS THINKING IN ORGANIZATIONAL DESIGN,3,3,0,8.0,course.php?prog=904&course_code=9040739
ION740,INFORMATION TECHNOLOGY ACCEPTANCE IN ORGANISATIONS,3,3,0,8.0,course.php?prog=904&course_code=9040740
ION755,INTRODUCTION TO MODELING & SIMULATION (M&S),3,3,0,8.0,course.php?prog=904&course_code=9040755
