Course Code,Course Name,METU Credit,Contact (h/w),Lab (h/w),ECTS,URL
SM501,PERSONAL SOFTWARE PROCESS,3,3,0,8.0,course.php?prog=905&course_code=9050501
SM502,SOFTWARE MANAGEMENT,3,3,0,8.0,course.php?prog=905&course_code=9050502
SM503,OBJECT ORIENTED SOFTWARE DEVELOPMENT,3,3,0,8.0,course.php?prog=905&course_code=9050503
SM504,TEAM SOFTWARE PROJECT,3,2,4,10.0,course.php?prog=905&course_code=9050504
SM511,SOFTWARE PROCESS IMPROVEMENT,3,3,0,8.0,course.php?prog=905&course_code=9050511
SM512,OBJECT ORIENTED PROGRAMMING AND DATA STRUCTURES,3,3,0,8.0,course.php?prog=905&course_code=9050512
SM514,INTRODUCTION TO SOFTWARE TESTING,3,3,0,8.0,course.php?prog=905&course_code=9050514
SM515,SOFTWARE VERIFICATION AND VALIDATION,3,3,0,8.0,course.php?prog=905&course_code=9050515
SM517,SOFTWARE METRICS,3,3,0,8.0,course.php?prog=905&course_code=9050517
SM519,ACQUISITION OF SOFTWARE INTENSIVE SYSTEMS,3,3,0,8.0,course.php?prog=905&course_code=9050519
SM521,SOFTWARE REQUIREMENTS ENGINEERING,3,3,0,8.0,course.php?prog=905&course_code=9050521
SM522,AGILE SOFTWARE DEVELOPMENT,3,3,0,8.0,course.php?prog=905&course_code=9050522
SM523,SOFTWARE DESIGN PATTERNS,3,3,0,8.0,course.php?prog=905&course_code=9050523
SM524,ADVANCED SOFTWARE TESTING,3,3,0,8.0,course.php?prog=905&course_code=9050524
SM525,SOFTWARE PRODUCT LINE MANAGEMENT,3,3,0,8.0,course.php?prog=905&course_code=9050525
SM526,SECURE SOFTWARE DEVELOPMENT,3,3,0,8.0,course.php?prog=905&course_code=9050526
SM527,SECURITY ENGINEERING,3,0,0,8.0,course.php?prog=905&course_code=9050527
SM528,SOFTWARE ARCHITECTURE,3,0,0,8.0,course.php?prog=905&course_code=9050528
SM530,SOCIAL NETWORK ANALYSIS,3,0,0,8.0,course.php?prog=905&course_code=9050530
SM547,MODEL BASED SYSTEMS ENGINEERING,3,0,0,8.0,course.php?prog=905&course_code=9050547
SM548,COMPUTER SYSTEMS FOR PROGRAMMERS,3,3,0,8.0,course.php?prog=905&course_code=9050548
SM549,IT GOVERNANCE,3,3,0,8.0,course.php?prog=905&course_code=9050549
SM561,INTRODUCTION TO SOFTWARE ENGINEERING,3,3,0,8.0,course.php?prog=905&course_code=9050561
SM563,BUSINESS PROCESS MANAGEMENT,3,3,0,8.0,course.php?prog=905&course_code=9050563
SM589,TERM PROJECT,0,0,0,20.0,course.php?prog=905&course_code=9050589
SM590,GRADUATE SEMINAR,0,0,2,10.0,course.php?prog=905&course_code=9050590
SM591,SOFTWARE MANAGEMENT PRIMER I,1,1,0,5.0,course.php?prog=905&course_code=9050591
SM592,SOFTWARE MANAGEMENT PRIMER II,1,1,0,5.0,course.php?prog=905&course_code=9050592
SM701,SPECIAL TOPICS IN SM:CONTEMP. ISSUES IN MANAGEMENT,3,3,0,8.0,course.php?prog=905&course_code=9050701
SM702,PEOPLEWARE,3,3,0,8.0,course.php?prog=905&course_code=9050702
SM703,DEVOPS ESSENTIALS,3,3,0,8.0,course.php?prog=905&course_code=9050703
SM704,SERVICE ORIENTED ARCHITECTURE,3,3,0,8.0,course.php?prog=905&course_code=9050704
