Program Code|Program Short Name|Program Long Name|Course Code|Credit|ECTS Credit|Course Section|Capacity|Language of Instruction|Start Hour1|End Hour1|Day1|Instructor Name|Level of Study|Prerequisite|Course Objectives|Course Content|Course Learning Outcomes
905|SM|SOFTWARE MANAGEMENT|9050590|0|10|0|0|English|Not Available|Not Available|Not Available|Prof.Dr. ONUR DEMİRÖRS|Graduate|Not Available|Not Available|Not Available|Not Available
905|SM|SOFTWARE MANAGEMENT|9050528|0|8|0|0|English|Not Available|Not Available|Not Available||Graduate|Not Available|By the end of the course the students willknow principles of software architectureunderstand the role of software architecture in a software engineering projectknow software architectural patterns and stylesknow and apply software architecture design tecniquesknow and use software architecture modeling notationsanalyze software architecturesimplement software architectures|Fundamental concepts of software architecture. The role of architecture in software engineering. Designing applications from an architecture-centric perspective. Architecture design techniques and approaches. Architectural styles and patterns. Implementation and deployment. Software architecture modeling and architecture documentation.|Student, who passed the course satisfactorily will have the knowledge and skills todefine the key terms and concepts related to software architectureunderstand the role of software architecture in the software engineering activitiesunderstand and reason about the architecture of a software systemapply analysis techniques at the architectural levelapply architectural patterns to create architectural alternatives and choose the best alternativebe familiar with modeling notations used for capturing the design decisions that constitute an architecturedocument the architecture of a software systemconvert architectural design decisions to implementationapply architecture-centric development within the context of specific domains
905|SM|SOFTWARE MANAGEMENT|9050504|0|10|0|0|English|Not Available|Not Available|Not Available|Prof.Dr. SEMİH BİLGEN|Graduate|Not Available|Course objective 1: By the end of the course the students will practice their software/system engineering knowledge and skills in an information systems project.Course objective 2: By the end of the course the students will understand how to use software/system engineering practices.Course objective 3: By the end of the course the students will participate in a semester-long groupwork development activity.|The course is designed for students to gain an understanding of issues of a real-world software project and enable them to apply their newly learned skills in a practical context. Students will be grouped into teams to undertake a software project with the tools, techniques and skills acquired during their previous course work. Each team will work as a software development group and assume the role of a quality assurance team for another group. The team will be assigned to a client and will interact with that client to engineer requirements, agree upon a design and achieve a successful acceptance test of a software system. Teams will meet on predetermined milestones with their faculty and quality assurance groups to discuss review results and progress.|Course learning outcome 1: By the end of the course the students would be able to perform IS requirements specification, design, project management and implementation tasks in real-world projects.Course learning outcome 2: By the end of the course the students would be able to use their software/system engineering knowledge and skills in IS development.Course learning outcome 3: By the end of the course the students would be able to apply software/system engineering practices in IS projects.Course learning outcome 4: By the end of the course the students would be able to cooperate and communicate in an IS development project involving several stakeholders (e.g. peer team members, customers, quality teams).Course learning outcome 5: By the end of the course the students would be able to demonstrate their groupwork skills in real-world projects.
905|SM|SOFTWARE MANAGEMENT|9050512|0|8|0|0|English|Not Available|Not Available|Not Available|Prof.Dr. ONUR DEMİRÖRS|Graduate|Not Available|This course is designed as an entry level Java programming and data structures course for students who doesn't have prior programming experience.Course is composed of two parts, Object Oriented Programming and Data Structures.In the first part, an introduction to object oriented programming is given. Students will learn  Java programming language and will be able to write code to solve basic programming problems.Second part is about algorithms and data structures. Students will learn the commonly used ways to represent data in the computer like arrays, trees, linked-lists, hash tables, stacks and queues. An introduction to asymptotic algorithm analysis will be given. Students will learn examples of sorting algorithms and be able to insert, delete, search and process data.|The basic object oriented principles will be discussed using a modern programming language i.e. Java. The theory will be used in practice to implement data structures which is very important in algorithm development.|Student, who passed the course satisfactorily will be able to:Write basic level of Java programming language codesDesign object oriented solutions for simple problemsUnderstand asymptotic algorithm analysis and Big Oh notationHave understanding for basic data structures like arrays, lists, trees, hash tables, stacks, queues etc.
905|SM|SOFTWARE MANAGEMENT|9050524|0|8|0|0|English|Not Available|Not Available|Not Available||Graduate|Not Available|Not Available|In the scope of this course, advanced software testing techniques will be examined. In particular, the important phases of testing will be reviewed, emphasizing on the significance of each phase when testing different types of software. Students will gain awareness about testing concepts regarding the roles of testing organization as test analysts, testers and test managers. The activities related to testing will be examined through the lifecycle of a software project. The test process improvement concepts will also be introduced.|Not Available
905|SM|SOFTWARE MANAGEMENT|9050549|0|8|0|0|English|Not Available|Not Available|Not Available|Lecturer MEHMET CÜNEYT ÜVEY|Masters|Not Available|Not Available|Contemporary issues about IT Governance as a whole; but major concentration upon IT Organization, IT Management, IT Processes,|Not Available
905|SM|SOFTWARE MANAGEMENT|9050548|0|8|0|0|English|Not Available|Not Available|Not Available||Graduate|Not Available|Not Available|This course summarizes computer systems from a programmers perspective and it is for students with no backgrounds in logic design, computer organization and computer architecture. Starting with a program in a high level language, all stages from compilation, assembly and execution of instructions in hardware level are covered. More advanced topics such as pipelining and cache memories are also discussed. The students who finish the course can write better programs since they will be able to understand better how the computer programs are executed.|Not Available
905|SM|SOFTWARE MANAGEMENT|9090538|0|8|0|0|English|Not Available|Not Available|Not Available||Graduate|Not Available|Not Available|Review of 2D basics,3-D models and geometric transformations. Graphics standards (PHIGS,GKS) and user interface standards(XWindows).Solid modeling. Illumination and shading. Fracta models. Animation.|Not Available
905|SM|SOFTWARE MANAGEMENT|9050525|0|8|0|0|English|Not Available|Not Available|Not Available||Graduate|Not Available|Not Available|Fundamental concepts of software product lines are introduced.These include commonality and variability; domain and application management; variability modeling and management; reference architectures. Approaches to SPL development, SPL organization and SPL adaption are discussed. The concept of SPL maturity is also introduced and the Family Evaluation Framework is studied, together with case studies of hypothetical and real life organizations.|Not Available
905|SM|SOFTWARE MANAGEMENT|9090522|0|8|0|0|English|Not Available|Not Available|Not Available|Prof.Dr. HÜSEYİN HACIHABİBOĞLU|Graduate|Not Available|Manual generation of game assets is a time consuming and costly process. In addition fixed, uncontrollable assets do not allow the modification of content with interaction. Procedural content generation is the name given to the set of techniques that focus on designing models that can be parametrically controlled. Procedural content generation and design are slowly becoming the norm in game development. The major advantage of procedural sound design is the substantial reduction in the effort required to record sounds. In addition it allows the game designer to avoid repetition by parametrically modifying the sound synthesis algorithms and the sounds that they generate in effect.The objective of this course is to equip the students with the knowledge, skills and tools needed to generate natural sounding, parametrically controllable artificial sound synthesis algorithms and sound effects.|Games are interactive applications and game worlds change with interaction. Audio content in games and virtual reality are typically canned recordings that are impossible to modify during runtime, preventing interactivity, causing repetition and increasing the memory footprint. Procedural audio generation by using interactive synthesis algorithms is a solution to circumvent these problems. This course aims to introduce the students to the concepts and underpinnings of procedural audio as well as give them the practical knowhow on procedural sound design for games.|Upon successful completion of this course the students will:learn the basic concepts of procedural sound design,learn the basics of human auditory system, auditory cognition, auditory memorylearn to use the Pure Data graphical programming languagelearn the basic artificial sound synthesis techniqueslearn to carry out modular analysis on sounding objects and combine different components in a meaningful and systematic waylearn about event-based parametric sound synthesis modelsgain practical experience in designing a variety of sound effects that can be used in gamesdesign, test, and deploy their first parametric sound synthesis model
905|SM|SOFTWARE MANAGEMENT|9050591|0|5|0|0|English|Not Available|Not Available|Not Available||Graduate|Not Available|By the end of the course the students will knowkey terms and concepts of software domain,basic software development activities,tools and techniques used in software development.|An introduction to the basic concepts of software domain. Requirements analysis, software architecture, software design, implementation technologies, verification, validation and software modelling.|Not Available
