Semester|Program Code|Program Short Name|Course Code|Course Name|Credit|ECTS Credit|Course Section|Capacity|Day1|Start Hour1|End Hour1|Instructor Name|Instructor Title|Language of Instruction|Level of Study|Course Objectives|Course Learning Outcomes|Course Content|Prerequisite
2024-2025 Fall|904.0|ION|9040589|MS PROJECT|0.0|20.0|1.0|3.0||||SEVGİ ÖZKAN YILDIRIM|Prof.Dr.|English|Graduate|||Sorry no data is found for the course objective.|Not Available
2024-2025 Fall|904.0|ION|9040892|SPECIAL STUDIES|0.0|10.0|1.0|1.0||||STAFF|-||||||
Fall Semesters.|||9040590|GRADUATE SEMINAR||10.0||||||Prof.Dr. ÜNAL ERKAN MUMCUOÐLU||English|Graduate|At the end of this course, the student will;Select a subject of interest to IS professionalsPresent the topic to an audienceEvaluate other students' presentations|Student, who passed the course satisfactorily will be able to:Formulate a presentatation topic of interest to IS professionalsPrepare a 15 minute presentationPresent the topic to an audience of graduate students and an instructorEvaluate  presentations by others|Sorry no data is found for the course objective.|Not Available
Spring Semesters.|||9040528|IMAGE PROCESSING ALGORITHMS||8.0||||||Prof.Dr. ÜNAL ERKAN MUMCUOÐLU||English|Graduate|This course aims to provide fundamental image processing theory and practice.|Introduction, Transform Techniques, Enhancement and Restoration, Edge Detection, Morphological Image Processing, Color Image Processing, Segmentation, Image Representation and Compression|Introduction, Transform Techniques, Enhancement, Edge Detection, Morphological Image Processing, Color Image Processing, Segmentation, Image Representation and Compression. The course will be offered through Internet.|Not Available
Fall Semesters.|||9040504|COMPUTER NETWORKING FOR IS||8.0||||||Prof.Dr. NAZÝFE BAYKAL||English|Graduate|By the end of the course the students willknow the hardware and software components that constitute a computer networkunderstand the principles of the services provided by computer networks and the network applications using those servicesknow the principles of data transfer in computer networks and internetworking and understand operation of the most important protocolsapply the basic principles to set up a computer networkformulate and analyze the performance of a computer networkunderstand the principles of network security|By the end of the course the students will be able toidentify the end systems, switching devices, links and protocolsstate the fundamental architectural choices to structure the core of the computer networks and define and compare the circuit and packet switching approachesdefine the layered architectures, list the layers used in the ISO OSI Reference Model and the Internet Protocol Stack and explain the roles of each layerexplain the basic services provided by computer networks, discuss the service requirements of a network application and define connection oriented and connectionless communicationclassify network applications and describe the client server and the peer to peer network application architecturesdevelop network applicationsdescribe the basic error detection and correction mechanismsdescribe basic mechanisms used in reliable data transfer protocolsdescribe the addressing mechanisms used in the Internetdefine and discriminate forwarding and routing in network core devicesdefine, compare and contrast congestion control and flow control and explain the basic flow and congestion control mechanisms used in computer networksclassify routing algorithms and describe link state and distance vector routing algorithmsclassify medium access control mechanisms and evaluate and discuss performances of the well-known medium access control protocolsdescribe the organization and basic operation of an Ethernet networkdefine and discriminate transmission, propagation, nodal processing and queuing delaysexplain the causes of packet losses in computer networksformulate delay, loss, throughput and utilization in packet switched networksexplain the basic cryptography, confidentiality, integrity and authentication conceptsdescribe the most widely used protocols in the Internetconstruct computer networks|Introduction to networking, Layered network architectures and standard layer functions. ALOHA, Ethernet and Token Ring networks. Framing and error control. Routing and switching. Internetworking. TCP/IP. The Internet.Application support protocols. Network security.|Not Available
Spring Semesters.|||9040512|IT GOVERNANCE||8.0||||||Prof.Dr. ÜNAL ERKAN MUMCUOÐLU||English|Graduate|||Contemporary issues about IT Governance as a whole; but major concentration upon IT Organization, IT Management, IT processes, IT project management, IT control standards and security, IT risk management and audit issues will be thoroughly discussed and practised in this course. By focusing on business requirements and business-technology alignment; well-applied global best practices, assessment methodologies, process maturity and IT risks will be examined. Besides experiencing the technology impact and its leverage on business world, the protection and control of information assets will be the common perspective of this lecture.|Not Available
Fall Semesters.|||9040545|SOFTWARE QUALITY MANAGEMENT||8.0||||||||English|Graduate|||Software quality. Quality assurance. Quality metrics. Construction of software quality. Quality management and control. Software Quality Assurance planning. Quality standards. Software testing techniques. Black box and white box testing.|Not Available
Fall Semesters.|||9040525|ARTIFICIAL INTELLIGENCE||8.0||||||Prof.Dr. ÜNAL ERKAN MUMCUOÐLU||English|Graduate|||Problem solving and search strategies. Game playing. Knowledge Representation. Expert systems and rule chaining. Vision. Natural language processing. Machine translation. Machine learning. Neural networks.|Not Available
Fall or Spring Semesters.|||9040533|DECISION SUPPORT SYSTEMS||8.0||||||||English|Graduate|At the end of this course, the student willLearn different management roles and decision typesLearn the rational decision making process and the characteristics of different management stylesUnderstand the status of DSS in Business Information SystemsApply techniques such as Linear Programing, Decision Trees, Simulation, Multiple Criteria Decision Making and Data Mining to solve simple problems by hand or using a toolLearn different types of DSS and enabling technologies: Group Support Systems, Simulation, Expert Systems and Data Mining&Warehousing, Knowledge Management, Business Performance ManagementUse some DSS enabling software packages with some hands-on capabilityUnderstand DSS development methodologies and future directions|Student, who passed the course satisfactorily will be able to:Identify different management roles and decision typesDescribe characteristics of different management stylesRecite stages of Simon Decision Making ProcessDistingush basic concepts of linear programming, multi criteria decision making, analytic hierarchy process, simulation.Construct influence diagrams for decisional problemsConstruct decision treesSolve decisional problems by applying DSS techniques and discuss resultsCompute some DSS enabling software packagesIdentify, and compare&contrast different types of DSSs and tools, such as Group Support Systems, Simulation, Expert Systems and Data Mining&Warehousing, Knowledge Management, Business Performance ManagementExplain DSS development methodologiesEvaluate future trends of DSS|Review of management support systems. Individual and organizational decision making. Human problem solving and decision processes. Normative and behavioral models of decision making. Decision making process, decision modeling, and supporting decisions. Datamining and business intelligence. The DSS development tools. Management support systems integration. Implementation examples.|Not Available
Fall or Spring Semesters.|||9040505|INFORMATION SYSTEMS ON-LINE GROUP PROJE||8.0||||||Prof.Dr. ÜNAL ERKAN MUMCUOÐLU||English|Graduate|||This course aims to integrate fundamental awareness and expertise obtained in earlier information systems and software engineering courses into a meaningful whole through an applied group project. Students are organized in teams and each team is responsible from a stage in a complete IS  development  project.  Teams  communicate  via formal documentation prepared and reviewed over the Internet. Course material, in parallel with project stages, presents an overview of fundamental IS project planning and management techniques and approaches. The course aims to achieve a professional level of quality in all stages of work, through formal peer reviews, standards of documentation and quality assurance.|Not Available
Fall or Spring Semesters.|||9040552|REGULATORY AND LEGAL ASPECTS OF INFORMATION SYSTEMS||8.0||||||||English|Graduate|||This module aims to introduce the student to the basis of the legal systems that govern the supply and use of computer and communications technology. The sources of law regulating electronic transactions arising related to these technologies will be emphasized. Developing an understanding of the regulatory framework relating to electronic business transactions, starting with the simple formation of a binding electronic contract, and moving to complex issues of data protection, intellectual property rights, electronic liabilities, e-payments and financial transactions, and dispute resolution are the main concerns of this course.|Not Available
Fall and Spring Semesters.|||9040739|SYSTEMS THINKING IN ORGANIZATIONAL DESIGN||8.0||||||||English|Graduate|||Focus on foundations of Information Systems Management covering the essential concepts in Information Technology Management like planning, organizing, leading and controlling with strong practical orientation. A systematic approach to organizational structures considering information hierarchy around modern day constraints. Analysis and design of information systems as meshed with organizational design. Basic information concepts, data processing technology and its applications. Information Systems development methodology in terms of systems analysis, design and implementation.|Not Available
Fall Semesters.|||9040502|INTRODUCTION TO SOFTWARE ENG.||8.0||||||Lecturer Dr. ALÝ ARÝFOÐLU||English|Graduate|||The course introduces the fundamentals of software management and software system models with an emphasis on software development process models, project management techniques and contemporary modeling notations.|Not Available
Fall Semesters.|||9040514|MULTIMEDIA INFORMATION SYSTEMS||8.0||||||||English|Graduate|||Architectures for multimedia systems, digital audio, video technology and image compression, computer graphics, multimedia information systems, multimedia communication systems.|Not Available
Fall Semesters.|||9040542|INFORMATION TECH.AND BUSINESS PROCESSES||8.0||||||||English|Graduate|||This course covers the business process concepts and the impact of ICT as the enabling technology.  Process organization and process innovation are the main emphasis. Methodologies such as integrated process engineering and extended integrated process engineering will also be in introduced.|Not Available
Spring Semesters.|||9040503|DATABASE CONCEPTS AND APPLICATIONS||8.0||||||Prof.Dr. ÜNAL ERKAN MUMCUOÐLU||English|Graduate|||Introduction to database concepts: data abstraction/independence, data models (entity-relationship model, object oriented model, relational/network/hierarchical model), database languages (ddl, dml), database administrator/user. Storage and file structures. Indexing and hashing. Relational model: formal query languages (relational algebra, relational calculus), commercial query languages (sql). Relational database design: integrity constraints, data dependencies, normal forms. Transaction processing and concurrency control.|Not Available
Spring Semesters.|||9040755|INTRODUCTION TO MODELING & SIMULATION (M&S)||8.0||||||||English|Graduate|||Essentials of M&S, M&S Terminology, Systems Modeling, Discrete Event Simulation, Continuous Simulation, Agent Based M&S, Model Verification and Validation. Simulation Based Acquisition, 3D Graphical Modeling, Virtual Reality, Augmented Reality, Games and Serious Games, Human Factor, Human Cognitive and Behavior Modeling, Human Computer Interaction, Simulation Standards, Professionals Ethics for Simulationists, Simulation and Training and M&S Technologies and Application.|Not Available
Spring Semesters.|||9040523|DATA MINING||8.0||||||Prof.Dr. ÜNAL ERKAN MUMCUOÐLU||English|Graduate|||The course introduces principles and techniques of data mining. It emphasizes the advantages and disadvantages of using these methods in real world systems, and provides hands-on experience. Topics include: Data Mining using Decision-Tree based classifiers, Association-Rules, Clustering methods, Neural Networks, Statistical methods (Probability, Maximum Likelihood, EM algorithm, Bayesian methods, Markov and Hidden Markov methods, Cross-Validation, Regression), Visual methods, Text Mining, Web Mining.|Not Available
Spring Semesters.|||9040562|INTRODUCTION TO ENGINEERING OPTIMIZATION||8.0||||||||English|Graduate|||Introduction to optimization problems, problem formulation, mathematical preliminaries, convex analysis, unconstrained minimization, one dimensional search techniques, methods of steepest descent, Newton and quasi-Newton and conjugate directions, constrained minimization and Kuhn-Tucker conditions, linear programming, penalty function method, feasible direction techniques, evolutionary optimization, genetic algorithms.|Not Available
Fall Semesters.|||9040535|INTRODUCTION TO MEDICAL INFORMATICS||8.0||||||||English|Graduate|||Medical informatics is the application of computers, communications and information technology and systems to all fields of medicine - medical care, medical education and medical research. This Course presents an overview of medical informatics and its main applications. Primary topics include : Medical informatics as a discipline, Associations and Institutes, Medical data and records, coding classification, database and reference models, Interfaces, data acquisition, processing and exchange standards, Medical Knowledge, decision and diagnostic support, Medical information systems, Administrative, Clinical and Ancillary Information systems, Implementations and evaluations, Telemedicine and Internet applications.|Not Available
Fall Semesters.|||9040561|FUNDAMENTALS OF SIMULATION||8.0||||||||English|Graduate|||This course covers simulation modeling in dynamic and stochastic systems, relevant fundamentals of statistical analysis, computer simulation and other application specifics. Discrete event simulation is the main emphasis, however, continuous and combined models will also be introduced. Input data analysis, model verification and validation, experimentation and output analysis will be introduced. Computer simulation will be taught in SIMAN programming environment.|Not Available
Spring Semesters.|||9040541|COMPUTER NETWORKING APPLICATIONS||8.0||||||Prof.Dr. ÜNAL ERKAN MUMCUOÐLU||English|Graduate|||TCP/IP overview. Integrated services. Differentiated services. Multiprotocol Label Switching. Ethernet overview and gigabit Ethernet. Wireless Networks. Optical Networks.|Not Available
Fall or Spring Semesters.|||9040516|COMPUTER ARCHITECTURE||8.0||||||||English|Graduate|||The course provides the basics of computer organization and advanced architectures used in the design of modern computers. Together with fundamentals of computer organization, instruction level parallelism, memory hierarchies, storage systems and multiprocessor systems are given.|Not Available
Fall and Spring Semesters.|||9040557|SECURITY ENGINEERING||8.0||||||||English|Graduate|||Security engineering involves software and systems engineering, mathematics, economics, psychology and social engineering. This course aims to introduce the students to the hardware and software systems that require protection; the security mechanisms currently in place to protect them and the attacks that jeopardize availability, integrity or confidentiality of information and services. Specific applications of security engineering for military systems, financial sector, and management of health records will be discussed.|Not Available
Fall and Spring Semesters.|||9040740|INFORMATION TECHNOLOGY ACCEPTANCE IN ORGANISATIONS||8.0||||||||English|Graduate|||Fundamental concepts of information technology acceptance in organizations. The importance of acceptance technology covering the essential concepts in Information Technology Acceptance life Perceived Ease of Use, Perceived Usability, Behavioral Intention, etc. Determining factors affecting the acceptance of technology at the individual and organizational level. Developing information systems that will be accepted by the end-user. Understanding how the technology acceptance field has evolved.|Not Available
